title,url,description,author,scraped_at,source
"In the Wake of Anthropic’s Mythos, OpenAI Has a New Cybersecurity Model—and Strategy",https://www.wired.com/story/in-the-wake-of-anthropics-mythos-openai-has-a-new-cybersecurity-model-and-strategy/,"OpenAI says its safeguards “sufficiently reduce cyber risk” for now, while GPT-5.4-Cyber is a new cybersecurity-focused model.",LILY HAY NEWMAN,2026-04-21T08:50:07.965681,Wired.com
‘We Were Not Ready for This’: Lebanon's Emergency System Is Hanging by a Thread,https://www.wired.com/story/we-were-not-ready-for-this-lebanons-emergency-system-is-hanging-by-a-thread/,"In Lebanon, nearly 1 in 5 people has been displaced by Israeli attacks, leaving the government to manage a modern crisis without modern digital infrastructure.",CARLA SERTIN,2026-04-21T08:50:09.419779,Wired.com
Iran-Linked Hackers Are Sabotaging US Energy and Water Infrastructure,https://www.wired.com/story/iran-linked-hackers-are-sabotaging-us-energy-and-water-infrastructure/,"As Trump threatens Iranian infrastructure, the US government warns that Iran has carried out its own digital attacks against US critical infrastructure.",ANDY GREENBERG,2026-04-21T08:50:10.620125,Wired.com
Anthropic Teams Up With Its Rivals to Keep AI From Hacking Everything,https://www.wired.com/story/anthropic-mythos-preview-project-glasswing/,"The AI lab's Project Glasswing will bring together Apple, Google, and more than 45 other organizations. They'll use the new Claude Mythos Preview model to test advancing AI cybersecurity capabilities.",LILY HAY NEWMAN,2026-04-21T08:50:12.074339,Wired.com
Border Patrol Agents Sold Challenge Coins With Charlotte’s Web Characters in Riot Gear,https://www.wired.com/story/us-border-patrol-challenge-coins-nonprofits/,"Nonprofits run out of US Border Patrol stations are also selling other “operation”-themed coins that include a phrase popularized by the Proud Boys, potentially in violation of government rules.",MADDY VARNER,2026-04-21T08:50:13.103276,Wired.com
The Hack That Exposed Syria’s Sweeping Security Failures,https://www.wired.com/story/inside-the-hack-that-exposed-syrias-security-failures/,"When Syrian government accounts were hijacked in March, the breach looked chaotic. But it revealed something more troubling: a state struggling with the most basic layer of cybersecurity.",DANNY MAKKI,2026-04-21T08:50:14.101480,Wired.com
Meta Pauses Work With Mercor After Data Breach Puts AI Industry Secrets at Risk,https://www.wired.com/story/meta-pauses-work-with-mercor-after-data-breach-puts-ai-industry-secrets-at-risk/,"Major AI labs are investigating a security incident that impacted Mercor, a leading data vendor. The incident could have exposed key data about how they train AI models.",MAXWELL ZEFF,2026-04-21T08:50:15.088583,Wired.com
CBP Facility Codes Sure Seem to Have Leaked Via Online Flashcards,https://www.wired.com/story/cbp-facility-codes-sure-seem-to-have-leaked-via-online-flashcards/,"The Quizlet flashcards, which WIRED found through basic Google searches, seem to include sensitive information about gate security at Customs and Border Protection locations.",SAMMY SUSSMAN,2026-04-21T08:50:16.639481,Wired.com
"Uncanny Valley: Iran’s Threats on US Tech, Trump’s Plans for Midterms, and Polymarket’s Pop-up Flop",https://www.wired.com/story/uncanny-valley-podcast-iran-targets-us-tech-polymarket-pop-up-trump-midterms/,"In this episode, we discuss Iran’s threats to target US tech firms, gear up for the midterm elections, and get a scene report from the Polymarket pop-up bar in DC.",BRIAN BARRETT,2026-04-21T08:50:17.822989,Wired.com
What Happens When a Nuclear Site Is Hit?,https://www.wired.com/story/heres-what-can-happen-when-the-us-bombs-irans-nuclear-sites/,"As strikes continue on Iran’s nuclear facilities, the real danger isn’t the explosion, but what happens if critical safety systems fail—and how that risk could spread across the Gulf.",JETHU ABRAHAM,2026-04-21T08:50:19.093247,Wired.com
Unmasking the Paramilitary Agents Behind Trump’s Violent Immigration Crackdown,https://www.wired.com/story/border-patrol-bortac-borstar-use-of-force-midway-blitz/,A WIRED analysis of DHS records identified dozens of specialized federal agents who used force against US civilians during the largest known deployment of its kind in US history.,ALI WINSTON,2026-04-21T08:50:20.539927,Wired.com
Apple Will Push Out Rare ‘Backported’ Patches to Protect iOS 18 Users From DarkSword Hacking Tool,https://www.wired.com/story/apple-will-push-out-rare-backported-patches-to-protect-ios-18-users-from-darksword-hacking-tool/,"As DarkSword spreads, Apple tells WIRED it will enable iOS 18-specific fixes for millions of iPhone owners who remain on that iOS version rather than force them to update to iOS 26.",ANDY GREENBERG,2026-04-21T08:50:21.849453,Wired.com
Iran Threatens to Start Attacking Major US Tech Firms on April 1,https://www.wired.com/story/iran-threatens-to-start-attacking-major-us-tech-firms-on-april-1/,"Tech giants like Apple, Google, and Microsoft are among those on a target list released by Iran’s Islamic Revolutionary Guard Corps.",DELL CAMERON,2026-04-21T08:50:23.341733,Wired.com
The US Military’s GPS Software Is an $8 Billion Mess,https://www.wired.com/story/the-us-militarys-gps-software-is-an-8-billion-mess/,"The GPS Next-Generation Operational Control System was due for completion in 2016. Ten years later, the software for controlling the military’s GPS satellites still doesn’t work.","STEPHEN CLARK, ARS TECHNICA",2026-04-21T08:50:24.200717,Wired.com
The Broken System That Keeps Shipping Crews Stranded in the Strait of Hormuz,https://www.wired.com/story/legal-loopholes-leave-shipping-crews-stranded-in-the-strait-of-hormuz/,"Vessels are increasingly being abandoned during the war on Iran, revealing a hidden failure in the global systems that keep goods—and people—moving.",RUCHI KUMAR,2026-04-21T08:50:25.962802,Wired.com
Security News This Week: Iranian Hackers Breached Kash Patel’s Email—but Not the FBI’s,https://www.wired.com/story/iranian-hackers-breached-the-fbi-directors-personal-email-but-not-the-fbi/,"Plus: Apple makes big claims about the effectiveness of its Lockdown Mode anti-spyware feature, Russia moves to implement homegrown encryption for 5G, and more.",ANDY GREENBERG,2026-04-21T08:50:27.223696,Wired.com
How Trump’s Plot to Grab Iran's Nuclear Fuel Would Actually Work,https://www.wired.com/story/us-iran-war-nuclear-extraction-ground-operation/,"Experts say that an American ground operation targeting nuclear sites in Iran would be incredibly complicated, put troops’ lives at great risk—and might still fail.",CAROLINE HASKINS,2026-04-21T08:50:28.456830,Wired.com
A $20 Billion Crypto Scam Market Faces a New Government Crackdown,https://www.wired.com/story/20-billion-xinbi-guarantee-uk-sanctions/,The Telegram-based Xinbi Guarantee black market sells services that help prop up scam operations. British officials just hit the highly lucrative marketplace with sweeping sanctions.,MATT BURGESS,2026-04-21T08:50:29.557163,Wired.com
Using a VPN May Subject You to NSA Spying,https://www.wired.com/story/using-a-vpn-may-subject-you-to-nsa-spying/,US lawmakers are pressing Tulsi Gabbard to reveal whether using a VPN can strip Americans of their constitutional protections against warrantless surveillance.,DELL CAMERON,2026-04-21T08:50:30.801607,Wired.com
"Anduril Wants to Own the Future of War Tech. Mishaps, Delays, and Challenges Abound",https://www.wired.com/story/andurils-real-war-is-with-itself/,"From drones to missiles to submarines, the $30.5 billion defense startup wants to transform how the tools of war are made. It’s not all going as planned.",PARESH DAVE,2026-04-21T08:50:31.878440,Wired.com
There’s New Evidence for How Loneliness Affects Memory in Old Age,https://www.wired.com/story/theres-new-evidence-for-how-loneliness-affects-memory-in-old-age/,A longitudinal study found that loneliness is more closely linked to lapses in immediate and delayed recall than to the overall speed of cognitive decline.,JORGE GARAY,2026-04-21T08:50:33.177774,Wired.com
The ‘Lonely Runner’ Problem Only Appears Simple,https://www.wired.com/story/the-lonely-runner-problem-only-appears-simple/,"Take a group of runners circling a track at unique, constant paces. Answering the question of how many will always end up running alone, no matter their speed, has vexed mathematicians for decades.",PAULINA ROWIŃSKA,2026-04-21T08:50:34.704637,Wired.com
How Can Astronauts Tell How Fast They’re Going?,https://www.wired.com/story/how-can-astronauts-tell-how-fast-theyre-going/,"Weirdly, spaceships have no direct way to gauge their own speed. Luckily, we can use some physics tricks to figure it out.",RHETT ALLAIN,2026-04-21T08:50:36.095209,Wired.com
Flight Path Data Shows How Mosquitoes Target Humans,https://www.wired.com/story/flight-path-data-shows-how-mosquitoes-target-humans/,"Scientists have quantified what draws mosquitoes to people—which could help make better, life-saving bug traps.",RITSUKO KAWAI,2026-04-21T08:50:37.016447,Wired.com
Scientists Have Made a French Fry Breakthrough,https://www.wired.com/story/scientists-have-made-french-fry-breakthrough/,Researchers have developed a method of making french fries that results in a healthier bite without sacrificing crispiness.,MARTA MUSSO,2026-04-21T08:50:38.596114,Wired.com
FDA Approves Eli Lilly’s GLP-1 Pill,https://www.wired.com/story/fda-approves-eli-lillys-glp-1-pill/,Eli Lilly’s once-daily Foundayo is the second obesity pill to receive FDA approval. It will compete with Novo Nordisk’s pill version of Wegovy.,EMILY MULLIN,2026-04-21T08:50:40.101243,Wired.com
"6,000 Meters Under the Pacific, Japan Seeks Independence From China on Rare Earths",https://www.wired.com/story/under-the-pacific-japan-seeks-independence-from-china-on-rare-earths/,"Tokyo is succeeding where the rest of the world has failed, reducing its reliance on Beijing for crucial rare earth elements—thanks to an enormous underwater deposit discovered on a remote island.",LORENZO LAMPERTI,2026-04-21T08:50:41.605185,Wired.com
Marine Animals in the Strait of Hormuz Don’t Get a Ceasefire,https://www.wired.com/story/marine-animals-in-the-strait-of-hormuz-dont-get-a-ceasefire/,"As ships return to the Strait of Hormuz, mines, sonar, and congestion continue to reshape the Gulf beneath the surface.",EVANGELINE ELSA,2026-04-21T08:50:42.901512,Wired.com
Trump’s War on Iran Could Screw Over US Farmers,https://www.wired.com/story/trumps-war-on-iran-could-screw-over-us-farmers/,The Middle East supplies a huge amount of the world’s fertilizer. Conflict in the region has sent prices soaring ahead of the critical spring planting season.,MOLLY TAFT,2026-04-21T08:50:44.185727,Wired.com
The Last Mystery of Antarctica’s ‘Blood Falls’ Has Finally Been Solved,https://www.wired.com/story/the-last-mystery-of-antarcticas-blood-falls-has-finally-been-solved/,New research sheds light on what drives reddish water to emerge from underground to pour onto the Taylor Glacier.,SIMONE VALESINI,2026-04-21T08:50:45.303184,Wired.com
